Particular,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Domestic,805.7,893.3,931.4,908.7,1108.9,1169.3,1342.7,1401.6,1571.4,1676.4
Non-Commercial,95.3,100.5,109.9,98.9,103.5,109.5,115.7,115.2,126.6,130.6
Commercial,120.3,141.7,154.4,146.3,187.1,204,240.7,256.8,285.4,302.1
Industrial,785.6,849.1,901.1,845.7,960.4,1001.7,1123.9,1141.1,1251.7,1359.3
Water Supply & Irrigation,45.5,48,46.9,48.1,56,82.8,64.6,72.6,82.5,84.3
Street Light,63.2,66.9,70.3,67.5,65.6,67.2,72.1,76.2,76.4,78.1
Temporary Supply,0.9,1.3,0.7,1,1,1,1.2,1.5,1.3,1.5
Transport,5.7,6.3,5.9,5.2,5.4,5.5,6.7,6.3,6.2,6.6
Temple,4.8,4.8,5.1,4.8,3.6,3.5,4,4.1,5.2,4.9
Community Sales,9.2,15.5,24.7,32,35,52,69,77,86.1,96.9
Total (Internal Sales,1936.1,2127.3,2250.2,2158.2,2526.5,2696.5,3040.6,3152.4,3492.9,3740.5
Bulk Supply (India),96.6,76.9,60.1,46.4,75.1,31.1,4.1,3.6,3.4,3.2
Gross Total,2032.6,2204.2,2310.3,2204.6,2601.5,2727.6,3044.7,3156,3496.3,3743.8
